Codigo;Descripcion;UbicacionCorregida;DisponibleCodigo;UDS_1Mes;UDS_3Meses;Almacen;Catalogo;Obsoleto;Tipo;UbicacionCodigo;Padre;UbicacionPadre;DisponiblePadre;Volumen;Peso;DeptATerceros;DeptDeTerceros;UbicacionCodigoAlt1;UbicacionCodigoAlt2;Existencias;MOSTRAR EN HEATMAP
P345360NMSMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Sensor de movimiento;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NRC;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Receptor Mando;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NRCMP;Isia 3453/60 Plafón Negro Texturado, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Receptor Mando;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NRPC;Isia Plafón 3453/60 Negro Texturado, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Sin Driver;A09040;0;;;PT;OTROS;VERDADERO;PT;;P3453172N;A09040;118;0,069696;5;0;0;;;0;
P345360NSI;Isia 3453/60 Plafón Negro Texturado, LED 1x, CL.I, Sin instalación;;0;;;OTRO;OTROS;VERDADERO;PT;;;;;0,069696;5;0;0;;;0;
P345360OT;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,058695;5,6;0;0;;;0;
P345360OT1EM;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Kit de emergencia;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OT1EMMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OT3EM;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Kit de emergencia;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OT3EMMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Kit de emergencia;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTAP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Casambi;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTAPMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Control por Voz;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTCA;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Casambi;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTCAMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Casambi;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTDP;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. DALI/Push;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTDPMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. DALI/Push;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTDT;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Dim. Triac;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTDTMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Dim. Triac;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTDTMS;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Dim. Triac, Sensor de movimiento;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTMS;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Sensor de movimiento;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTMSMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Sensor de movimiento;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTRC;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, Receptor Mando;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTRCMP;Isia 3453/60 Plafón Oro Técnico, LED 1x55W 3000K 5250lm, CL.I, LED integrado, DIFUSOR Microprismático, Receptor Mando;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTRPC;Isia Plafón 3453/60 Oro Técnico, LED 55W 3000K 5250lm, CRI90 CL.I, LED integrado, Sin Driver;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360OTSI;Isia 3453/60 Plafón Oro Técnico, LED, CL.I, Sin instalación;A13240;0;;;PT;OTROS;VERDADERO;PT;;P3453172OT;A13240;37;0,069696;5;0;0;;;0;
P345360PB;Isia PRO Plafón 3453/60 Blanco texturado, LED 50W 3000K 5750lm, CRI90 CL.I, LED integrado, ON-DEMAND **;B05140;0;;1;PT;ACB;FALSO;PT;;P34536PBRPC;B05140;95;0,057037;5,55;0;0;;;0;
